title,description,course_content,is_certified,status,rating,total_enrollments,author,learning_outcomes,course_inclusions
minus,Quasi et ut dolorem aliquam. Beatae natus animi culpa. Illum voluptatibus vitae occaecati soluta qui. Et earum et minus dolores est eveniet ut a. Eligendi pariatur totam quaerat aut suscipit enim sunt voluptatem.,"Deserunt nisi optio eius. Beatae ea ab accusantium dolores aut tempore velit et. Nostrum est ad fuga exercitationem voluptatum nisi architecto mollitia. Architecto nemo accusantium nihil cum id recusandae.
Fuga ab at ipsa autem illum quos quia et et. Cum ut reprehenderit quis soluta. Corrupti libero quia fugit ut mollitia sed omnis et eos. Quisquam harum ut. Et eum placeat harum est placeat enim. Expedita ut voluptates ea et quasi qui doloremque quae eum.
Sed sunt provident quam nobis saepe qui. Et veritatis natus natus sed. Odio delectus id nemo laborum et beatae doloremque iure quis.",0,-1,5,3,Guillermo Spinka DDS,"""Totam in qui. Quia voluptate omnis. Iste inventore et similique nemo atque. Suscipit quos reiciendis dolores fuga est et rem labore. Dolores non temporibus totam repellat quam.""","""In nesciunt doloribus nulla sint modi et et voluptatem. Ex ipsam aliquam quisquam ut sit atque nihil velit sed."""
veniam,quasi,praesentium ex ea,0,-1,2,8,Jessie Schimmel,"""Totam in qui. Quia voluptate omnis. Iste inventore et similique nemo atque. Suscipit quos reiciendis dolores fuga est et rem labore. Dolores non temporibus totam repellat quam.""","""In nesciunt doloribus nulla sint modi et et voluptatem. Ex ipsam aliquam quisquam ut sit atque nihil velit sed."""
non,veritatis,Iste nam necessitatibus nisi esse optio accusantium et.,0,-1,1,6,Pedro Mraz,"""Totam in qui. Quia voluptate omnis. Iste inventore et similique nemo atque. Suscipit quos reiciendis dolores fuga est et rem labore. Dolores non temporibus totam repellat quam.""","""In nesciunt doloribus nulla sint modi et et voluptatem. Ex ipsam aliquam quisquam ut sit atque nihil velit sed."""
blanditiis,molestiae,Quia aut doloribus nobis expedita sed non quia. Ipsa enim cumque iste in omnis autem. Quia enim velit odit.,0,-1,4,2,Katherine Crona,"""Totam in qui. Quia voluptate omnis. Iste inventore et similique nemo atque. Suscipit quos reiciendis dolores fuga est et rem labore. Dolores non temporibus totam repellat quam.""","""In nesciunt doloribus nulla sint modi et et voluptatem. Ex ipsam aliquam quisquam ut sit atque nihil velit sed."""
vero,repudiandae,Tenetur asperiores quis et deserunt sint ut.,0,-1,2,4,Esther Carroll,"""Totam in qui. Quia voluptate omnis. Iste inventore et similique nemo atque. Suscipit quos reiciendis dolores fuga est et rem labore. Dolores non temporibus totam repellat quam.""","""In nesciunt doloribus nulla sint modi et et voluptatem. Ex ipsam aliquam quisquam ut sit atque nihil velit sed."""
et,consectetur,eligendi,0,-1,5,3,Annie Lueilwitz,"""Totam in qui. Quia voluptate omnis. Iste inventore et similique nemo atque. Suscipit quos reiciendis dolores fuga est et rem labore. Dolores non temporibus totam repellat quam.""","""In nesciunt doloribus nulla sint modi et et voluptatem. Ex ipsam aliquam quisquam ut sit atque nihil velit sed."""
officiis,corrupti,est corporis quia,0,-1,1,3,Celia Zulauf II,"""Totam in qui. Quia voluptate omnis. Iste inventore et similique nemo atque. Suscipit quos reiciendis dolores fuga est et rem labore. Dolores non temporibus totam repellat quam.""","""In nesciunt doloribus nulla sint modi et et voluptatem. Ex ipsam aliquam quisquam ut sit atque nihil velit sed."""
et,qui,Error voluptatem ullam facilis ut eum. Aliquid culpa tenetur deleniti voluptatum aut. Sed tempore nobis magni et quis reprehenderit rerum perspiciatis. Rerum pariatur dolorem sed aspernatur qui odio saepe natus magni.,0,-1,2,3,Miss Kristine Jacobi,"""Totam in qui. Quia voluptate omnis. Iste inventore et similique nemo atque. Suscipit quos reiciendis dolores fuga est et rem labore. Dolores non temporibus totam repellat quam.""","""In nesciunt doloribus nulla sint modi et et voluptatem. Ex ipsam aliquam quisquam ut sit atque nihil velit sed."""
ipsum,perferendis,Facilis quas harum ab. Est quos expedita. Occaecati sequi at consequatur. Voluptatem natus est nesciunt cumque. Error nobis eligendi laudantium omnis odit sed sapiente excepturi.,0,-1,4,3,Woodrow Huel,"""Totam in qui. Quia voluptate omnis. Iste inventore et similique nemo atque. Suscipit quos reiciendis dolores fuga est et rem labore. Dolores non temporibus totam repellat quam.""","""In nesciunt doloribus nulla sint modi et et voluptatem. Ex ipsam aliquam quisquam ut sit atque nihil velit sed."""
itaque,maiores,"met praesentium quia. Alias magnam incidunt et tempora mollitia. Facilis provident eum consequatur unde nihil sit repellendus sint. Ex eius tempora est et quas aut pariatur. Porro ratione id voluptatibus ut sit est quo.
Quas natus fuga ut corporis saepe. Ut non ut facere quibusdam perferendis et. Voluptate nisi possimus ut alias. Tempore deserunt et temporibus reiciendis nesciunt eos provident possimus et. A harum quo officia. Ducimus ut veritatis dignissimos amet amet.
Dolorem autem sunt aut. Sed ea quasi esse. Provident et explicabo occaecati fuga nihil modi illo earum. Distinctio itaque quae dolores aspernatur. Dignissimos enim voluptate rerum.",0,-1,5,5,Neal Adams,"""In nesciunt doloribus nulla sint modi et et voluptatem. Ex ipsam aliquam quisquam ut sit atque nihil velit sed.""","""In nesciunt doloribus nulla sint modi et et voluptatem. Ex ipsam aliquam quisquam ut sit atque nihil velit sed."""
